UE ID,Position,Tile,Active,Inner Region,BS ID,Moving,Generator,Cluster
30,"(14.615776644454193, 3.0128491628130663)",82184,True,False,752292018.0,False,,4
31,"(4.367717607230341, 5.20977083873168)",141614,True,False,752292180.0,False,,0
32,"(9.746032708787494, 1.7419297523494197)",47309,True,False,752290400.0,False,,1
33,"(6.09244511746236, 7.413398399828227)",201523,True,False,752291190.0,False,,0
34,"(8.97213072460528, 9.006300368341977)",245158,True,False,752292424.0,False,,2
35,"(13.209528691334027, 1.9944410642419423)",54248,True,False,942290048.0,False,,4
36,"(8.137318722403233, 1.7472303503356048)",47245,True,False,752291659.0,False,,1
37,"(6.833659982994072, 4.209233254220491)",114513,True,False,752290329.0,False,,1
38,"(11.572218394734666, 6.911609258004551)",188142,True,False,752292053.0,False,,2
39,"(8.312903114605064, 2.608319092883392)",71052,True,False,752290416.0,False,,1
40,"(7.131916748554477, 0.19139871777095982)",5045,True,False,752290437.0,False,,1
41,"(3.8029960165385304, 5.021981816029573)",136152,True,False,752292195.0,False,,0
42,"(11.569480078419128, 8.854768706592644)",241182,True,False,752291459.0,False,,2
43,"(15.917350498645614, 3.615065823032141)",98556,True,False,752292071.0,False,,4
44,"(9.679613376268417, 3.881830087651256)",105787,True,False,752292220.0,False,,1
45,"(5.2602246625933455, 8.992481068381137)",244330,True,False,752291468.0,False,,0
46,"(16.140968085220425, 6.413305871191918)",174725,True,True,752291450.0,False,,4
47,"(1.169210263577851, 6.668948443490154)",180926,True,False,752290131.0,False,,0
48,"(2.5904464788515567, 5.219674752084621)",141543,True,False,752290429.0,False,,0
49,"(7.65835658436948, 9.047031238208065)",245786,True,False,752290341.0,False,,2
50,"(13.890372752145048, 6.3705590878453116)",173275,True,False,752291450.0,False,,4
51,"(10.213656977619758, 8.280460956124717)",225488,True,False,752290182.0,False,,2
52,"(12.163560253216959, 6.459277791594415)",175926,True,False,752291461.0,False,,2
53,"(16.767437475900927, 6.786894844793369)",184950,True,False,752292383.0,False,,4
54,"(12.495902820123193, 2.691951812808048)",73259,True,False,752290188.0,False,,4
55,"(9.542113610825783, 2.8054288833372767)",76541,True,False,752292052.0,False,,1
56,"(13.274606244162282, 7.246041880231788)",197050,True,False,752291447.0,False,,2
57,"(1.1697251221140175, 2.758255380629001)",74846,True,False,752291984.0,False,,3
58,"(3.038390791321181, 5.2034275797018585)",141561,True,False,752292089.0,False,,0
59,"(9.738461899416569, 2.3036472311620826)",62949,True,False,752292159.0,False,,1
60,"(7.68882594609974, 7.566218047003874)",205667,True,False,752292460.0,False,,2
61,"(2.484754899181248, 1.0374636219582825)",27979,True,False,752292372.0,False,,3
62,"(1.7468913346918646, 7.677714078617571)",208829,True,False,752292421.0,False,,0
63,"(15.844793322324993, 5.554268863774905)",151593,True,True,752292018.0,False,,4
64,"(8.100917699570115, 1.7296393650686264)",47244,True,False,752291659.0,False,,1
65,"(8.794126079749262, 5.010128151833421)",136351,True,False,752291509.0,False,,1
66,"(13.846813012921155, 2.613117688529557)",71273,True,False,752291974.0,False,,4
67,"(15.900556258798158, 2.9929178402400485)",81556,True,False,752292071.0,False,,4
68,"(5.002755822718031, 3.269734490836548)",88600,True,False,752290089.0,False,,3
69,"(10.12920256374513, 0.5836361596451379)",16045,True,False,752291957.0,False,,1
70,"(12.144031785740633, 9.148855783936911)",248685,True,True,752291459.0,False,,2
71,"(12.85928584876617, 0.29573500550497345)",7994,True,False,752291146.0,False,,4
72,"(0.904769806636896, 6.145179494255062)",166636,True,False,752290131.0,False,,0
73,"(9.316437351481406, 3.4298185876803093)",93532,True,False,752290071.0,False,,1
74,"(16.032562599008788, 5.953294272214926)",162481,True,True,752291450.0,False,,4
75,"(0.5095741752766079, 3.305091216028082)",89780,True,False,752291215.0,False,,3
76,"(3.866099948840762, 6.2498626276055145)",169474,True,False,752290305.0,False,,0
77,"(13.525300229077107, 6.738522995332183)",183461,True,True,752291447.0,False,,4
78,"(7.664341664938726, 6.39785521974202)",173706,True,False,752292116.0,False,,2
79,"(7.287650133369174, 1.0635925354911229)",28851,True,False,752290357.0,False,,1
80,"(16.561791320033212, 6.056722607614038)",165222,True,True,752292071.0,False,,4
81,"(15.076400728331224, 2.585216442055246)",70643,True,False,752292018.0,False,,4
82,"(12.526314786781017, 0.26376231173664794)",7301,True,False,752291146.0,False,,1
83,"(10.432682341081058, 3.838340060038136)",104457,True,False,752290122.0,False,,1
84,"(8.728357424109879, 4.023315749143484)",109149,True,False,752290444.0,False,,1
85,"(15.37236303108875, 4.304749912730057)",117574,True,True,752292018.0,False,,4
86,"(12.48358610708235, 6.515337319296299)",177299,True,False,752290363.0,False,,2
87,"(9.202392155182649, 2.8588641955279037)",77888,True,True,752292052.0,False,,1
88,"(15.556277807170476, 2.922887918217918)",79502,True,False,752292071.0,False,,4
89,"(9.671312765907231, 0.5644958185316716)",15346,True,False,752292560.0,False,,1
90,"(1.1630086584217896, 6.373268144863635)",172766,True,False,752290131.0,False,,0
91,"(0.6983106945744705, 5.274233253133792)",142827,True,False,752291213.0,False,,0
92,"(8.703134472102706, 3.229013945269079)",88068,True,False,752292130.0,False,,1
93,"(14.816918417466997, 6.513535861915246)",177392,True,False,752291450.0,False,,4
94,"(13.325461647622332, 4.951549375899738)",135173,True,False,752290275.0,False,,4
95,"(11.32220200955647, 4.346721769888485)",118092,True,False,752291499.0,False,,1
96,"(3.2839317730499014, 4.747276265423264)",128651,True,False,752291417.0,False,,3
97,"(6.364841876859948, 5.895147641175472)",160054,True,False,752290031.0,False,,0
98,"(2.2356857767790053, 6.102834958183624)",166009,True,False,752292421.0,False,,0
99,"(3.5858431765661507, 2.6864324949499228)",72903,True,False,752290456.0,False,,3
100,"(6.313773604846015, 1.3026395678226108)",35612,True,False,752290494.0,False,,3
101,"(4.52478504657624, 1.4561034205201728)",39620,True,False,752291214.0,False,,3
102,"(8.429963810088427, 5.913170072971399)",160817,True,False,752291178.0,False,,2
103,"(5.438430204484873, 8.085995518445833)",219857,True,False,752292066.0,False,,0
104,"(11.019297303658131, 3.7879163600182153)",103120,True,False,752291573.0,False,,1
105,"(0.6152423863786247, 1.5930936596351948)",42864,True,False,752292277.0,False,,3
106,"(16.4756256275391, 6.989266104563627)",190379,True,False,752291392.0,False,,4
107,"(4.072104861780709, 7.700434718573136)",209602,True,False,752290328.0,False,,0
108,"(3.460129552595024, 8.173155686255146)",221818,True,False,752290328.0,False,,0
109,"(7.708828860057063, 5.611468220605007)",152628,True,False,752291171.0,False,,1
110,"(13.12453853482611, 7.9549830964737644)",216764,True,True,752291269.0,False,,2
111,"(12.676631379728127, 0.1464855647715326)",3907,True,True,752291146.0,False,,1
112,"(15.72171163353031, 0.9868019458670004)",27148,True,True,752292714.0,False,,4
113,"(8.187855179361932, 0.870895159240446)",23447,True,False,752290052.0,False,,1
114,"(10.618463987452897, 6.581628725055426)",179264,True,False,752290386.0,False,,2
115,"(15.750422333876788, 0.6369925040633386)",17630,True,False,752290158.0,False,,4
116,"(11.29647280815239, 4.597395866917254)",124891,True,False,752290402.0,False,,1
117,"(16.073905654926904, 4.37198908094032)",118962,True,True,752292071.0,False,,4
118,"(4.039501088882453, 2.8861151399809026)",78361,True,False,752290512.0,False,,3
119,"(6.744371246163353, 8.068495540859141)",219229,True,False,752291291.0,False,,0
120,"(6.438453585752037, 1.5771831843139619)",43097,True,False,752292008.0,False,,1
121,"(10.673152033669673, 3.2613900634375415)",88826,True,False,752291033.0,False,,1
122,"(8.584083344547908, 7.16573918487922)",194823,True,False,752290018.0,False,,2
123,"(5.991845949029175, 0.28026719792575755)",7719,True,False,752291970.0,False,,3
124,"(15.645923471120248, 6.207248427341559)",169265,True,False,752291450.0,False,,4
125,"(4.054667098147858, 7.560159996321363)",205522,True,False,752290328.0,False,,0
126,"(9.393264002022436, 8.649136454460995)",234975,True,False,752290280.0,False,,2
127,"(10.070232031609287, 8.123508709441754)",220722,True,False,752291494.0,False,,2
128,"(7.403515145101913, 2.951779419971592)",80536,True,False,752292553.0,False,,1
129,"(14.988942619047668, 5.407257437076101)",147479,True,True,752290275.0,False,,4
130,"(13.495701374324232, 0.7167996967850582)",19579,True,False,752290148.0,False,,4
131,"(12.199268204099646, 2.3813698088932824)",65087,True,False,752290188.0,False,,1
132,"(1.6371446028588807, 0.8875310119356339)",23865,True,False,752292277.0,False,,3
133,"(14.955979419871435, 2.9147523349872007)",79478,True,False,752292018.0,False,,4
134,"(3.1610821496519814, 8.111168038899747)",220446,True,True,752290328.0,False,,0
135,"(11.459068416199313, 3.2004232338106386)",87498,True,False,752290250.0,False,,1
136,"(14.363052380922872, 5.183381195892509)",141334,True,True,752290275.0,False,,4
137,"(7.775032996724609, 4.007698592691549)",109111,True,False,752292393.0,False,,1
138,"(14.606965708327245, 4.234836203830591)",115504,True,True,752292018.0,False,,4
139,"(9.428296299741085, 8.987692095615877)",244497,True,True,752290280.0,False,,2
140,"(14.542311008812954, 2.740754639226364)",74701,True,False,752292018.0,False,,4
141,"(0.5700938736892298, 5.811300207199678)",157782,True,False,752290131.0,False,,0
142,"(9.262977293258492, 3.895260048521475)",105770,True,False,752292110.0,False,,1
143,"(13.335692529270482, 0.5675399837474899)",15493,True,False,752290148.0,False,,4
144,"(1.3608650592179499, 4.535443404862789)",123134,True,False,752291259.0,False,,3
145,"(1.6690051406132291, 7.529370922886655)",204746,True,False,752292421.0,False,,0
146,"(13.08346464929854, 0.9056043069186726)",25003,True,False,752290148.0,False,,4
147,"(15.80897774857419, 0.6307593705591505)",17632,True,False,752290158.0,False,,4
148,"(2.5644851407771667, 1.444954270065446)",38862,True,False,752292372.0,False,,3
149,"(14.719665326530448, 7.05911252411372)",192348,True,False,752291450.0,False,,4
150,"(14.474719010147357, 6.689846359117646)",182138,True,False,752291450.0,False,,4
151,"(0.034985007544457374, 5.245888481981036)",142121,True,False,752292067.0,False,,0
152,"(5.168246850316066, 4.3437318834206025)",117846,True,False,752290436.0,False,,3
153,"(1.654903483743347, 8.236708107684214)",223786,True,True,752292421.0,False,,0
154,"(12.246545703270616, 7.087600950190719)",192929,True,False,752292329.0,False,,2
155,"(9.692086318585527, 7.514698343325857)",204387,True,False,752290045.0,False,,2
156,"(1.1210589196929597, 7.53211402099404)",204724,True,True,752292421.0,False,,0
157,"(12.264386881947159, 5.928080866700245)",161650,True,False,752291212.0,False,,2
158,"(9.042255269417486, 4.243299195958818)",115281,True,False,752290444.0,False,,1
159,"(4.376070933029725, 8.0168947740907)",217775,True,False,752291147.0,False,,0
160,"(3.585367253854145, 8.578102421902743)",233383,True,False,752290328.0,False,,0
161,"(14.910497688692463, 0.20485582324238955)",6036,True,True,752290158.0,False,,4
162,"(3.860388988303083, 0.4846084756989632)",13074,True,False,752292041.0,False,,3
163,"(8.318459790923402, 8.894355388954159)",241732,True,False,752291702.0,False,,2
164,"(14.315175716359615, 2.5505671710545617)",69932,True,True,752292018.0,False,,4
