UE ID,Position,Tile,Active,Inner Region,BS ID,Moving,Generator,Cluster
36,"(6.832620721130762, 4.74357502201348)",47245,True,False,752291659.0,True,,1
37,"(6.8462236483515575, 4.733925675225716)",114513,True,False,752290329.0,True,,1
38,"(14.898726355014587, 7.802411965027622)",188142,True,False,752292053.0,True,,2
39,"(6.8483874036322785, 4.750201906684676)",71052,True,False,752290416.0,True,,1
40,"(6.839154377935331, 4.7488965704592765)",5045,True,False,752290437.0,True,,1
41,"(5.878475496142697, 2.2582319773688093)",136152,True,False,752292195.0,True,,0
42,"(14.913432320018703, 7.794148703395771)",241182,True,False,752291459.0,True,,2
43,"(12.324484013641067, 3.3497620045902456)",98556,True,False,752292071.0,True,,4
44,"(6.848784053809732, 4.728942236341626)",105787,True,False,752292220.0,True,,1
45,"(5.862020165141215, 2.2443831556077485)",244330,True,False,752291468.0,True,,0
46,"(12.3066865927779, 3.3605164386495843)",174725,True,True,752291450.0,True,,4
47,"(5.864832655319823, 2.25900223129296)",180926,True,False,752290131.0,True,,0
48,"(5.878457908488614, 2.250923150986021)",141543,True,False,752290429.0,True,,0
49,"(14.894756220241602, 7.791388478051946)",245786,True,False,752291153.0,True,,2
50,"(12.327507051790109, 3.346588648945743)",173275,True,False,752291450.0,True,,4
51,"(14.904820322825255, 7.8116440652120875)",225488,True,False,752290182.0,True,,2
52,"(14.893205114832352, 7.794834579322059)",175926,True,False,752291461.0,True,,2
53,"(12.310854948506375, 3.349070530625866)",184950,True,False,752292383.0,True,,4
54,"(12.323619802371843, 3.3395673109683552)",73259,True,False,752290188.0,True,,4
55,"(6.841600072805414, 4.740790655658777)",76541,True,False,752292052.0,True,,1
56,"(14.90947755916224, 7.810173126850813)",197050,True,False,752291447.0,True,,2
57,"(5.478924156932399, 7.228620766652683)",74846,True,False,752291984.0,True,,3
58,"(5.872710172371682, 2.2592128211367446)",141561,True,False,752292089.0,True,,0
59,"(6.8505138051585455, 4.735274989218637)",62949,True,False,752292159.0,True,,1
60,"(14.912331121998733, 7.809153242405229)",205667,True,False,752292460.0,True,,2
61,"(5.461469776211036, 7.229504420998042)",27979,True,False,752292372.0,True,,3
62,"(5.866004205907328, 2.239794236735444)",208829,True,False,752292421.0,True,,0
63,"(12.308865457053761, 3.356954376327526)",151593,True,True,752292018.0,True,,4
64,"(6.856789578031126, 4.745210218774929)",47244,True,False,752291659.0,True,,1
65,"(6.841541667338786, 4.730522351239229)",136351,True,False,752291509.0,True,,1
66,"(12.313407529522461, 3.347564271624071)",71273,True,False,752291974.0,True,,4
67,"(12.325073615482873, 3.3622402290535236)",81556,True,False,752292071.0,True,,4
68,"(5.460788159288739, 7.209391698132724)",88600,True,False,752290089.0,True,,3
69,"(6.836755519416448, 4.7402869192636805)",16045,True,False,752291957.0,True,,1
70,"(14.895391128786587, 7.799457480526793)",248685,True,True,752291459.0,True,,2
71,"(12.326966198739477, 3.3461206443662252)",7994,True,False,752291146.0,True,,4
72,"(5.870254276847363, 2.2613826959087513)",166636,True,False,752290131.0,True,,0
73,"(6.844588709283637, 4.747289694382835)",93532,True,False,752290071.0,True,,1
74,"(12.3260793584988, 3.35773101991805)",162481,True,True,752291450.0,True,,4
75,"(5.473323806904875, 7.216653301788838)",89780,True,False,752291215.0,True,,3
76,"(5.877951072414386, 2.247705199890247)",169474,True,False,752290305.0,True,,0
77,"(12.307121911972537, 3.354563631757573)",183461,True,True,752291447.0,True,,4
78,"(14.916764750337046, 7.814248730261922)",173706,True,False,752292116.0,True,,2
